"year","state","voteDem","dem"
1958,"CO",0,0
1960,"CO",0.5625,0
1962,"CO",0,0
1964,"CO",0.5,0
1966,"CO",0,0
1968,"CO",0.200000002980232,0.466666668653488
1970,"CO",0,0
1972,"CO",0.266666680574417,0.400000005960464
1974,"CO",0,0.388888895511627
1976,"CO",0.260869562625885,0.260869562625885
1978,"CO",0,0.5
1980,"CO",0.205882355570793,0.294117659330368
1982,"CO",0,0.294117659330368
1984,"CO",0.189189195632935,0.216216221451759
1986,"CO",0,0.324999988079071
1988,"CO",0.270270258188248,0.135135129094124
1990,"CO",0,0.355555564165115
1992,"CO",0.5,0.425000011920929
1994,"CO",0,0.361111104488373
1996,"CO",0.394736856222153,0.394736856222153
1998,"CO",0,0.20833332836628
2000,"CO",0.189189195632935,0.297297298908234
2002,"CO",0,0.257142871618271
2004,"CO",0.370370358228683,0.185185179114342
2008,"CO",0.474747478961945,0.34343433380127
1952,"CA",0.202797204256058,0
1956,"CA",0.368055552244186,0
1958,"CA",0,0
1960,"CA",0.357142865657806,0
1962,"CA",0,0
1964,"CA",0.446540892124176,0
1966,"CA",0,0
1968,"CA",0.231788083910942,0.470198661088943
1970,"CA",0,0
1972,"CA",0.195555552840233,0.435555547475815
1974,"CA",0,0.454545468091965
1976,"CA",0.291005283594131,0.407407402992249
1978,"CA",0,0.387254893779755
1980,"CA",0.215277776122093,0.423611104488373
1982,"CA",0,0.389705896377563
1984,"CA",0.293893128633499,0.38549616932869
1986,"CA",0,0.382239371538162
1988,"CA",0.289719611406326,0.285046726465225
1990,"CA",0,0.414634138345718
1992,"CA",0.333333343267441,0.341563791036606
1994,"CA",0,0.350877195596695
1996,"CA",0.321428567171097,0.407142847776413
1998,"CA",0,0.493333339691162
2000,"CA",0.361256539821625,0.335078537464142
2002,"CA",0,0.335664331912994
2004,"CA",0.304347813129425,0.289855062961578
2008,"CA",0.468531459569931,0.419580429792404
1952,"OR",0,0
1962,"OR",0,0
1964,"OR",0.666666686534882,0
1966,"OR",0,0
1968,"OR",0.16666667163372,0.458333343267441
1970,"OR",0,0
1972,"OR",0.195121943950653,0.26829269528389
1974,"OR",0,0.28125
1976,"OR",0.27118644118309,0.305084735155106
1978,"OR",0,0.310344815254211
1980,"OR",0.260869562625885,0.47826087474823
1982,"OR",0,0.5
1984,"OR",0.355932205915451,0.338983058929443
1986,"OR",0,0.342857152223587
1988,"OR",0.360000014305115,0.360000014305115
1990,"OR",0,0.400000005960464
1992,"OR",0.318181812763214,0.363636374473572
1994,"OR",0,0.466666668653488
1996,"OR",0.324324309825897,0.432432442903519
1998,"OR",0,0.333333343267441
2000,"OR",0.472222208976746,0.305555552244186
2002,"OR",0,0.344827592372894
2004,"OR",0.576923072338104,0.346153855323792
2008,"OR",0.555555582046509,0.592592597007751
